,Date,Actual,forecast_date,target,location,type,quantile,value,Prediction,New Cases_y
0,2020-03-01,0,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
1,2020-03-02,0,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
2,2020-03-03,0,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
3,2020-03-04,0,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
4,2020-03-05,0,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
5,2020-03-06,4,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
6,2020-03-07,6,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
7,2020-03-08,6,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
8,2020-03-09,8,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
9,2020-03-10,10,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
10,2020-03-11,16,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
11,2020-03-12,18,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
12,2020-03-13,34,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
13,2020-03-14,26,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
14,2020-03-15,30,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
15,2020-03-16,60,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
16,2020-03-17,76,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
17,2020-03-18,136,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
18,2020-03-19,212,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
19,2020-03-20,232,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
20,2020-03-21,224,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
21,2020-03-22,296,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
22,2020-03-23,510,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
23,2020-03-24,516,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
24,2020-03-25,1084,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
25,2020-03-26,1086,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
26,2020-03-27,1116,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
27,2020-03-28,1278,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
28,2020-03-29,1414,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
29,2020-03-30,1538,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
30,2020-03-31,1970,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
31,2020-04-01,2266,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
32,2020-04-02,2800,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
33,2020-04-03,3418,2020-10-18,1 wk ahead inc case,42,point,,9411.91021,1344.5586014285714,
