Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,FIPS,percent_test_results_reported_positive_last_7_days,community_transmission_level,Distributed,Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Additional_Doses,Additional_Doses_Vax_Pct
Adams,2022-02-15,13.0,26.0,24305.0,103009.0,12.6,25.2,23595.0,42001.0,13.2,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Allegheny,2022-02-15,212.0,329.3,258004.0,1216045.0,17.4,27.1,21216.6,42003.0,12.28,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Armstrong,2022-02-15,17.0,24.3,14984.0,64735.0,26.3,37.5,23146.7,42005.0,16.96,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Beaver,2022-02-15,43.0,77.6,39317.0,163929.0,26.2,47.3,23984.2,42007.0,17.63,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Bedford,2022-02-15,10.0,15.1,10735.0,47888.0,20.9,31.6,22416.9,42009.0,18.91,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Berks,2022-02-15,65.0,93.7,100951.0,421164.0,15.4,22.3,23969.5,42011.0,13.92,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Blair,2022-02-15,35.0,68.1,29055.0,121829.0,28.7,55.9,23849.0,42013.0,13.97,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Bradford,2022-02-15,31.0,24.4,14627.0,60323.0,51.4,40.5,24247.8,42015.0,14.8,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Bucks,2022-02-15,81.0,104.7,120893.0,628270.0,12.9,16.7,19242.2,42017.0,7.22,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Butler,2022-02-15,19.0,48.7,43647.0,187853.0,10.1,25.9,23234.7,42019.0,13.33,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Cambria,2022-02-15,26.0,53.6,33892.0,130192.0,20.0,41.1,26032.3,42021.0,11.48,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Cameron,2022-02-15,0.0,0.7,800.0,4447.0,0.0,16.1,17989.7,42023.0,23.68,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Carbon,2022-02-15,17.0,15.6,15629.0,64182.0,26.5,24.3,24351.1,42025.0,12.53,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Centre,2022-02-15,37.0,46.7,34346.0,162385.0,22.8,28.8,21151.0,42027.0,9.12,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Chester,2022-02-15,164.0,109.9,89564.0,524989.0,31.2,20.9,17060.2,42029.0,8.53,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Clarion,2022-02-15,9.0,7.6,8058.0,38438.0,23.4,19.7,20963.6,42031.0,9.25,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Clearfield,2022-02-15,42.0,32.3,18759.0,79255.0,53.0,40.7,23669.2,42033.0,12.4,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Clinton,2022-02-15,30.0,17.1,8878.0,38632.0,77.7,44.4,22980.9,42035.0,15.06,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Columbia,2022-02-15,16.0,27.9,14686.0,64964.0,24.6,42.9,22606.4,42037.0,17.65,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Crawford,2022-02-15,22.0,24.9,19476.0,84629.0,26.0,29.4,23013.4,42039.0,22.12,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Cumberland,2022-02-15,58.0,79.1,49905.0,253370.0,22.9,31.2,19696.5,42041.0,12.93,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Dauphin,2022-02-15,65.0,69.6,58254.0,278299.0,23.4,25.0,20932.2,42043.0,14.34,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Delaware,2022-02-15,64.0,86.7,108105.0,566747.0,11.3,15.3,19074.6,42045.0,7.37,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Elk,2022-02-15,8.0,11.0,6989.0,29910.0,26.7,36.8,23366.8,42047.0,12.91,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Erie,2022-02-15,29.0,70.3,55903.0,269728.0,10.8,26.1,20725.7,42049.0,14.33,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Fayette,2022-02-15,47.0,66.3,30139.0,129274.0,36.4,51.3,23314.0,42051.0,18.01,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Forest,2022-02-15,7.0,4.7,2208.0,7247.0,96.6,65.1,30467.8,42053.0,9.9,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Franklin,2022-02-15,22.0,40.7,39678.0,155027.0,14.2,26.3,25594.3,42055.0,12.8,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Fulton,2022-02-15,4.0,5.6,4005.0,14530.0,27.5,38.3,27563.7,42057.0,13.07,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Greene,2022-02-15,6.0,16.4,8192.0,36233.0,16.6,45.3,22609.2,42059.0,10.5,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Huntingdon,2022-02-15,22.0,20.1,11260.0,45144.0,48.7,44.6,24942.4,42061.0,8.87,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Indiana,2022-02-15,45.0,34.9,16935.0,84073.0,53.5,41.5,20143.2,42063.0,11.32,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Jefferson,2022-02-15,14.0,18.0,8748.0,43425.0,32.2,41.5,20145.1,42065.0,17.86,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Juniata,2022-02-15,5.0,6.6,4683.0,24763.0,20.2,26.5,18911.3,42067.0,10.53,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Lackawanna,2022-02-15,71.0,75.9,42226.0,209674.0,33.9,36.2,20138.9,42069.0,12.3,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Lancaster,2022-02-15,72.0,120.0,119227.0,545724.0,13.2,22.0,21847.5,42071.0,12.46,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Lawrence,2022-02-15,16.0,18.7,18610.0,85512.0,18.7,21.9,21763.0,42073.0,13.02,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Lebanon,2022-02-15,16.0,31.9,36095.0,141793.0,11.3,22.5,25456.1,42075.0,13.61,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Lehigh,2022-02-15,49.0,64.9,88357.0,369318.0,13.3,17.6,23924.4,42077.0,12.34,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Luzerne,2022-02-15,89.0,86.1,72014.0,317417.0,28.0,27.1,22687.5,42079.0,11.32,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Lycoming,2022-02-15,28.0,48.1,27992.0,113299.0,24.7,42.5,24706.3,42081.0,11.88,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
McKean,2022-02-15,7.0,12.9,7952.0,40625.0,17.2,31.6,19574.2,42083.0,20.92,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Mercer,2022-02-15,18.0,23.6,22993.0,109424.0,16.4,21.5,21012.8,42085.0,12.01,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Mifflin,2022-02-15,27.0,25.7,12065.0,46138.0,58.5,55.7,26149.8,42087.0,19.31,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Monroe,2022-02-15,24.0,36.6,36410.0,170271.0,14.1,21.5,21383.6,42089.0,13.02,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
