,Date,New Cases,7-day Average New Cases,Cum_cases,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,percent_test_results_reported_positive_last_7_days,community_transmission_level,Distributed,Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Additional_Doses,Additional_Doses_Vax_Pct,Cum_deaths,7-day Average New Deaths,New Deaths Rate,7-day Average New Death Rate,Total Death Rate
0,2021-08-23,3085.0,2657.6,1288443.0,12801989.0,1691.8,1335.8,673516.5,7.788507462686567,3.0,17370885.0,15172755.0,8756622.0,68.4,6954691.0,54.3,0.0,0.0,60,41.0,20.97,14.83,15752.1
1,2021-08-24,3692.0,2865.7999999999997,1292135.0,12801989.0,1913.3,1446.7,675430.6,8.07,3.0,17370885.0,15190103.0,8766124.0,68.5,6962263.0,54.4,0.0,0.0,52,45.7,16.23,15.32,15768.35
2,2021-08-25,3248.0,2764.2,1295383.0,12801989.0,1650.1,1411.5,677080.4,8.288059701492537,3.0,17421485.0,15218928.0,8781535.0,68.6,6974946.0,54.5,0.0,0.0,44,46.4,11.870000000000001,15.31,15780.21
3,2021-08-26,3966.0,2972.7999999999997,1299349.0,12801989.0,2258.5,1564.4,679338.6,8.549402985074627,3.0,17625235.0,15253030.0,8799978.0,68.7,6989211.0,54.6,0.0,0.0,56,48.6,14.05,14.94,15794.27
4,2021-08-27,3858.0,3123.1,1303207.0,12801989.0,2005.5,1647.5,681344.5,9.145671641791045,3.0,17739485.0,15292961.0,8822710.0,68.9,7004761.0,54.7,0.0,0.0,48,48.4,24.84,15.44,15819.12
5,2021-08-28,2588.0,3180.2000000000003,1305795.0,12801989.0,1328.0,1678.0,682672.6,9.677462686567164,3.0,17806425.0,15331833.0,8842653.0,69.1,7022532.0,54.9,0.0,0.0,66,52.1,15.31,16.43,15834.42
6,2021-08-29,2540.0,3282.1,1308335.0,12801989.0,1328.2,1739.7,684000.1,10.093731343283581,3.0,17818045.0,15365996.0,8860352.0,69.2,7037389.0,55.0,0.0,0.0,56,54.0,13.379999999999999,16.67,15847.78
7,2021-08-30,3578.0,3353.1,1311913.0,12801989.0,2168.7,1807.5,686169.2,10.176865671641792,3.0,17818045.0,15388826.0,8872244.0,69.3,7047739.0,55.1,0.0,0.0,74,56.0,39.07,19.23,15886.84
8,2021-08-31,3933.0,3387.3,1315846.0,12801989.0,2319.1,1865.4,688488.1,10.262985074626865,3.0,17853915.0,15403600.0,8880224.0,69.4,7054540.0,55.1,0.0,0.0,74,59.1,29.84,21.18,15916.66
9,2021-09-01,3729.0,3455.8,1319575.0,12801989.0,2062.1,1924.3,690550.3,10.500597014925372,3.0,17916445.0,15439653.0,8897546.0,69.5,7071957.0,55.2,0.0,0.0,68,62.400000000000006,19.64,22.28,15936.3
10,2021-09-02,4065.0,3469.8,1323640.0,12801989.0,2692.5,1986.2,693243.2,10.445074626865672,3.0,18004925.0,15473377.0,8914365.0,69.6,7087237.0,55.4,0.0,0.0,58,62.4,28.46,24.35,15964.74
11,2021-09-03,4660.0,3584.3,1328300.0,12801989.0,2904.3,2114.5,696147.3,10.513880597014925,3.0,18100875.0,15505628.0,8930547.0,69.8,7101884.0,55.5,0.0,0.0,56,63.8,21.189999999999998,23.83,15985.93
12,2021-09-04,3110.0,3659.3,1331410.0,12801989.0,1741.2,2173.3,697888.9,10.612686567164179,3.0,18178055.0,15536659.0,8945765.0,69.9,7115870.0,55.6,0.0,0.0,66,64.3,27.98,25.64,16013.86
13,2021-09-05,2486.0,3651.7,1333896.0,12801989.0,1388.1,2182.3,699277.5,11.050746268656717,3.0,18177515.0,15558256.0,8956413.0,70.0,7125538.0,55.7,0.0,0.0,78,67.7,20.68,26.67,16034.57
14,2021-09-06,2316.0,3471.6,1336212.0,12801989.0,1260.2,2052.4,700537.8,11.04761194029851,3.0,18177655.0,15576507.0,8965459.0,70.0,7134346.0,55.7,0.0,0.0,70,66.4,34.88,26.09,16069.43
15,2021-09-07,5033.0,3628.7,1341245.0,12801989.0,3345.1,2199.4,703883.0,11.026567164179104,3.0,18177655.0,15606032.0,8981050.0,70.2,7146396.0,55.8,0.0,0.0,64,65.2,35.63,26.92,16105.04
16,2021-09-08,4339.0,3715.1,1345584.0,12801989.0,2884.0,2316.7,706766.4,10.865074626865672,3.0,18196375.0,15617396.0,8987144.0,70.2,7151968.0,55.9,0.0,0.0,76,66.39999999999999,28.619999999999997,28.18,16133.66
17,2021-09-09,5195.0,3876.5,1350779.0,12801989.0,3590.4,2444.5,710357.2,11.128507462686567,3.0,18288375.0,15642841.0,8999257.0,70.3,7164447.0,56.0,0.0,0.0,58,66.5,13.64,26.05,16147.26
18,2021-09-10,5402.0,3983.1,1356181.0,12801989.0,3689.1,2556.6,714045.2,11.405373134328357,3.0,18342685.0,15676313.0,9015443.0,70.4,7180058.0,56.1,0.0,0.0,86,70.7,29.21,27.23,16176.5
19,2021-09-11,3783.0,4079.2,1359964.0,12801989.0,2470.7000000000003,2661.2,716516.1,11.734179104477613,3.0,18417345.0,15709016.0,9031923.0,70.6,7195222.0,56.2,0.0,0.0,74,71.9,25.63,26.89,16202.14
20,2021-09-12,3130.0,4170.900000000001,1363094.0,12801989.0,1774.7,2716.3,718290.7,10.929402985074626,3.0,18417345.0,15714069.0,9034840.0,70.6,7197632.0,56.2,0.0,0.0,96,74.5,48.599999999999994,30.89,16250.72
21,2021-09-13,4729.0,4515.9,1367823.0,12801989.0,3480.7,3033.3,721771.4,11.002537313432835,3.0,18417345.0,15759838.0,9057958.0,70.8,7218057.0,56.4,0.0,0.0,82,76.1,33.36,30.64,16284.039999999999
22,2021-09-14,4031.0,4373.0,1371854.0,12801989.0,2637.2,2932.2,724408.8,11.047611940298507,3.0,18433265.0,15776966.0,9066932.0,70.8,7226149.0,56.4,0.0,0.0,72,76.89999999999999,31.36,30.06,16315.4
23,2021-09-15,6279.0,4649.7,1378133.0,12801989.0,4737.4,3197.1,729145.8,11.02820895522388,3.0,18499295.0,15803009.0,9079748.0,70.9,7238415.0,56.5,0.0,0.0,68,75.89999999999999,34.08,30.82,16349.48
24,2021-09-16,5737.0,4727.4,1383870.0,12801989.0,3946.5,3247.9,733092.9,11.151641791044776,3.0,18608175.0,15838570.0,9097304.0,71.1,7255560.0,56.7,0.0,0.0,80,79.39999999999999,23.21,32.19,16372.72
25,2021-09-17,5311.0,4714.0,1389181.0,12801989.0,3624.6,3239.2,736717.4,10.95238805970149,3.0,18733375.0,15870658.0,9113177.0,71.2,7270956.0,56.8,0.0,0.0,92,80.0,30.46,32.42,16403.17
26,2021-09-18,4526.0,4820.4,1393707.0,12801989.0,3106.7,3329.7,739824.0,11.214179104477612,3.0,18886495.0,15871428.0,9114072.0,71.2,7271729.0,56.8,0.0,0.0,108,84.8,35.3,33.75,16438.45
27,2021-09-19,2550.0,4737.5,1396257.0,12801989.0,1678.6,3316.3,741502.5,11.363880597014925,3.0,18886695.0,15899334.0,9127481.0,71.3,7285038.0,56.9,0.0,0.0,106,86.4,59.019999999999996,35.19,16497.5
28,2021-09-20,4868.0,4757.3,1401125.0,12801989.0,3431.7,3309.1,744934.8,11.263134328358209,3.0,18886695.0,15917396.0,9136195.0,71.4,7294262.0,57.0,0.0,0.0,70,84.4,33.67,35.27,16531.19
29,2021-09-21,4603.0,4839.2,1405728.0,12801989.0,3226.6,3393.3,748161.4,11.352686567164179,3.0,18897905.0,15934159.0,9144388.0,71.4,7302523.0,57.0,0.0,0.0,96,87.8,27.76,34.8,16558.98
30,2021-09-22,5607.0,4742.7,1411335.0,12801989.0,3729.6,3249.2,751890.9,11.445970149253732,3.0,18950365.0,15958141.0,9155640.0,71.5,7313723.0,57.1,0.0,0.0,82,90.4,31.57,34.45,16590.57
31,2021-09-23,5099.0,4651.8,1416434.0,12801989.0,3757.3,3221.6,755648.3,11.672985074626865,3.0,19061995.0,16014184.0,9182757.0,71.7,7339324.0,57.3,0.0,0.0,92,92.0,63.63,40.24,16654.2
32,2021-09-24,5368.0,4659.8,1421802.0,12801989.0,3768.8,3242.9,759416.1,11.686567164179104,3.0,19128845.0,16038687.0,9194768.0,71.8,7350438.0,57.4,0.0,0.0,104,93.4,36.26,41.08,16690.48
33,2021-09-30,5457.0,4754.6,1449713.0,12801989.0,3563.9,3347.8,779085.6,11.797462686567165,3.0,19275615.0,16205819.0,9283640.0,72.5,7405158.0,57.8,0.0,0.0,112,112.5,52.86,46.49,16979.65
34,2021-10-01,4038.0,4564.2,1453751.0,12801989.0,2861.3,3218.8,781947.1,11.78,3.0,19392885.0,16248312.0,9303585.0,72.7,7418431.0,57.9,0.0,0.0,144,118.1,45.52,47.83,17025.14
35,2021-10-02,5796.0,4792.7,1459547.0,12801989.0,3977.0,3376.9,785924.1,11.968805970149253,3.0,19438775.0,16275456.0,9315002.0,72.8,7426237.0,58.0,0.0,0.0,122,116.6,46.44,46.74,17071.57
36,2021-10-03,3968.0,4921.8,1463515.0,12801989.0,2593.5,3433.0,788517.4,11.855820895522388,3.0,19443325.0,16326642.0,9342432.0,73.0,7437862.0,58.1,0.0,0.0,156,124.8,57.24,48.06,17128.85
37,2021-10-04,4818.0,4848.1,1468333.0,12801989.0,3303.3,3346.4,791820.7,12.081940298507464,3.0,19443325.0,16365545.0,9364156.0,73.1,7447512.0,58.2,0.0,0.0,94,120.3,29.41,45.78,17158.22
38,2021-10-05,4929.0,4857.6,1473262.0,12801989.0,3492.8,3348.8,795313.7,12.148955223880597,3.0,19474165.0,16390874.0,9376853.0,73.2,7455024.0,58.2,0.0,0.0,128,124.1,45.43,46.65,17203.69
39,2021-10-06,6283.0,5040.9,1479545.0,12801989.0,4413.4,3457.7,799727.1,12.131492537313433,3.0,19501805.0,16428388.0,9394022.0,73.4,7465121.0,58.3,0.0,0.0,166,131.10000000000002,88.57,52.2,17292.28
40,2021-10-07,5535.0,5052.5,1485080.0,12801989.0,3990.5,3518.9,803718.1,12.082089552238806,3.0,19562985.0,16485841.0,9423161.0,73.6,7478873.0,58.4,0.0,0.0,126,133.5,37.54,50.01,17329.84
41,2021-10-08,5488.0,5259.6,1490568.0,12801989.0,3807.0,3654.1,807524.8,12.338507462686566,3.0,19691235.0,16551120.0,9456242.0,73.9,7497640.0,58.6,0.0,0.0,132,131.7,69.51,53.42,17399.32
42,2021-10-09,4063.0,5012.1,1494631.0,12801989.0,3087.2,3526.4,810612.5,12.444776119402984,3.0,19735145.0,16612413.0,9488434.0,74.1,7512952.0,58.7,0.0,0.0,134,133.20000000000002,69.3,56.72,17468.6
43,2021-10-10,2750.0,4837.9,1497381.0,12801989.0,1887.8,3425.9,812499.8,12.441492537313433,3.0,19731845.0,16614317.0,9489897.0,74.1,7513444.0,58.7,0.0,0.0,120,127.89999999999999,48.17,55.410000000000004,17516.77
44,2021-10-11,4651.0,4813.7,1502032.0,12801989.0,3555.4,3462.1,816055.3,12.666268656716417,3.0,19726945.0,16671605.0,9517489.0,74.3,7527569.0,58.8,0.0,0.0,126,132.79999999999998,55.62,59.14,17572.39
45,2021-10-12,4775.0,4792.4,1506807.0,12801989.0,3290.1,3433.2,819345.3,12.821492537313432,3.0,19775475.0,16694783.0,9528453.0,74.4,7533657.0,58.8,0.0,0.0,156,137.2,72.85,63.04,17645.25
46,2021-10-13,5691.0,4707.5,1512498.0,12801989.0,4082.0,3386.0,823427.5,12.819253731343283,3.0,19817515.0,16720260.0,9539723.0,74.5,7540559.0,58.9,0.0,0.0,144,133.70000000000002,67.95,60.13,17713.18
47,2021-10-14,5227.0,4663.5,1517725.0,12801989.0,4085.5,3399.5,827513.1,12.806417910447761,3.0,19917895.0,16766705.0,9561896.0,74.7,7552044.0,59.0,0.0,0.0,156,138.0,74.89999999999999,65.44,17788.1
48,2021-10-15,4766.0,4560.6,1522491.0,12801989.0,3315.5,3329.7,830828.2,12.902985074626866,3.0,20013925.0,16848695.0,9600067.0,75.0,7581872.0,59.2,0.0,0.0,138,138.79999999999998,54.14,63.3,17842.21
49,2021-10-17,2934.0,4533.5,1529117.0,12801989.0,1876.3,3216.8,835016.2,12.625522388059702,3.0,20072035.0,16935426.0,9639304.0,75.3,7614096.0,59.5,0.0,0.0,138,141.20000000000002,64.55,63.79,17963.22
50,2021-10-18,3868.0,4422.4,1532985.0,12801989.0,2616.7,3082.2,837633.3,12.543582089552238,3.0,20071235.0,16997690.0,9671064.0,75.5,7628425.0,59.6,0.0,0.0,106,138.6,58.3,64.17,18021.52
51,2021-10-19,4441.0,4374.2,1537426.0,12801989.0,3410.4,3100.0,841043.2,12.214925373134328,3.0,20123205.0,17004215.0,9674896.0,75.6,7630178.0,59.6,0.0,0.0,136,136.0,60.82,62.48,18082.29
52,2021-10-20,4345.0,4181.8,1541771.0,12801989.0,3065.2000000000003,2954.4,844108.8,12.235820895522387,3.0,20156785.0,17058311.0,9693993.0,75.7,7651629.0,59.8,282320.0,3.6,146,136.29999999999998,60.45,61.39,18142.75
53,2021-10-21,4651.0,4099.7,1546422.0,12801989.0,3174.3,2824.6,847282.8,12.340746268656718,3.0,20285625.0,17099948.0,9713619.0,75.9,7661645.0,59.8,294836.0,3.8,128,132.29999999999998,53.38,58.339999999999996,18196.14
54,2021-10-22,4926.0,4122.2,1551348.0,12801989.0,3519.3,2853.4,850802.0,12.191641791044777,3.0,20400035.0,17146754.0,9739348.0,76.1,7673543.0,59.9,312401.0,4.1,144,133.6,56.0,58.56,18252.17
