Date,Cum_deaths,7-day Average New Deaths,New Deaths Rate,7-day Average New Death Rate,Total Death Rate
01/01/2021,388,426.8,122.58,154.4,9306.47
01/01/2022,268,225.0,81.99,86.44,23791.81
01/02/2021,372,421.6,126.34,151.59,9432.78
01/02/2022,230,225.20000000000002,59.94,79.7,23851.8
01/03/2021,352,411.9,129.85,145.23,9562.64
01/03/2022,274,234.0,117.64,86.22,23969.39
01/04/2021,372,401.59999999999997,156.18,139.17,9718.8
01/04/2022,270,241.5,78.46,80.4,24047.85
01/05/2021,384,395.9,132.45,141.75,9851.29
01/05/2022,238,240.2,87.69,80.3,24135.57
01/06/2021,368,386.1,148.92,142.78,10000.16
01/06/2022,294,250.9,83.68,83.46,24219.25
01/07/2021,340,367.40000000000003,121.59,133.96,10121.8
01/07/2022,262,261.8,57.38,80.93,24276.65
01/08/2021,332,359.8,113.00999999999999,132.64,10234.79
01/08/2022,280,263.6,83.36,81.16,24360.0
01/09/2021,346,355.9,116.99,131.3,10351.8
01/09/2022,306,274.7,105.05,87.63,24465.06
01/10/2021,318,351.5,148.68,133.97,10500.5
01/10/2022,264,273.5,87.22999999999999,83.26,24552.32
01/11/2021,332,346.0,105.52,126.76,10605.98
01/11/2022,348,284.5,87.25,84.51,24639.579999999998
01/12/2021,296,333.09999999999997,148.03,128.96,10753.98
01/12/2022,274,289.8,84.46,84.05,24724.07
01/13/2021,298,322.8,99.46000000000001,121.87,10853.46
01/13/2022,330,294.5,87.66,84.64,24811.77
01/14/2021,316,319.8,118.03,121.35,10971.5
01/14/2022,348,307.0,105.34,91.48,24917.13
01/15/2021,314,317.1,116.61,121.92,11088.07
01/15/2022,302,310.1,83.64,91.58,25000.74
01/16/2021,330,314.8,141.02,125.33,11229.11
01/16/2022,282,306.7,68.48,86.31,25069.26
01/17/2021,336,317.3,100.75,118.46000000000001,11329.86
01/17/2022,302,312.29999999999995,94.31,87.32,25163.53
01/18/2021,328,317.0,138.95,123.25999999999999,11468.85
01/18/2022,286,303.4,68.03,84.58,25231.6
01/19/2021,278,314.2,79.13,113.44,11547.92
01/19/2022,326,310.9,71.22,82.69,25302.84
01/20/2021,288,312.5,80.48,110.67,11628.43
01/20/2022,280,303.4,62.01,79.04,25364.850000000002
01/21/2021,270,306.2,86.43,106.19,11714.89
01/21/2022,344,303.2,128.04,82.27,25492.93
01/22/2021,294,303.2,121.47999999999999,106.84,11836.35
01/22/2022,278,299.6,85.89,82.58,25578.82
01/23/2021,254,292.90000000000003,99.37,100.94,11935.75
01/23/2022,282,299.2,86.99,85.21,25665.82
01/24/2021,284,285.2,84.92,98.7,12020.65
01/24/2022,292,297.8,68.23,81.49,25734.04
01/25/2021,310,282.7,82.32,90.56,12102.99
01/25/2022,258,294.09999999999997,73.01,82.21,25807.079999999998
01/26/2021,234,276.09999999999997,65.53,88.65,12168.56
01/26/2022,260,284.8,70.32000000000001,82.09,25877.38
01/27/2021,230,268.0,82.75999999999999,88.97,12251.28
01/27/2022,228,277.2,65.52,82.55,25942.91
01/28/2021,252,265.3,107.08,91.89,12358.32
01/28/2022,230,261.3,72.27,74.62,26015.17
01/29/2021,198,251.7,50.51,81.76,12408.8
01/29/2022,238,255.3,70.78,72.47,26085.99
01/30/2021,198,243.4,60.92,76.25,12469.77
01/30/2022,236,248.6,80.75999999999999,71.58,26166.72
01/31/2021,198,231.1,52.61,71.69,12522.41
01/31/2022,242,241.5,87.59,74.3,26254.29
02/01/2021,202,215.7,55.65,67.83,12578.06
02/01/2022,250,240.1,75.81,74.71,26330.14
02/02/2021,200,210.9,52.45,65.95,12630.45
02/02/2022,200,231.9,47.51,71.45,26377.59
