Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,494587638,6345.308577803721,7708594,98.89735179957385,1138093,6170283,79.16160178547868,23201,0.2976570641937971,3905,
United States of America,Americas,79544396,24031.347,201598,60.905,43389,976516,295.018,3480,1.051,976
India,South-East Asia,43033067,3118.328,7292,0.528,1109,521573,37.795,392,0.028,43
Brazil,Americas,30067249,14145.338,150915,70.999,27120,660723,310.842,1219,0.573,195
France,Europe,25781400,39639.69,916667,1409.403,157718,139811,214.964,722,1.11,105
Germany,Europe,22441051,26983.213,1084012,1303.421,175263,131370,157.96,1675,2.014,334
The United Kingdom,Europe,21508550,31683.335,308169,453.951,29229,169412,249.554,1179,1.737,57
Russian Federation,Europe,17969431,12313.357,107342,73.555,14311,371169,254.34,2105,1.442,280
Italy,Europe,15106066,25328.117,463712,777.499,70123,160402,268.944,1019,1.709,150
Republic of Korea,Western Pacific,14983694,29225.536,1607876,3136.145,205333,18754,36.579,2164,4.221,373
Turkey,Europe,14939259,17713.332,78699,93.313,9354,98311,116.566,278,0.33,36
Spain,Europe,11578653,24462.315,30569,64.583,0,102747,217.074,163,0.344,0
Viet Nam,Western Pacific,10070692,10346.044,506083,519.92,90228,42733,43.901,240,0.247,21
Argentina,Americas,9047408,20018.261,19335,42.781,2082,128144,283.531,41,0.091,38
Netherlands,Europe,7960982,45732.834,101823,584.935,12840,22067,126.767,85,0.488,9
Iran (Islamic Republic of),Eastern Mediterranean,7180008,8548.346,17788,21.178,0,140451,167.218,247,0.294,0
Japan,Western Pacific,6887421,5445.615,334501,264.477,55044,28528,22.556,431,0.341,72
Colombia,Americas,6086811,11962.392,2260,4.442,327,139687,274.526,80,0.157,9
Indonesia,South-East Asia,6030168,2204.624,14420,5.272,1755,155556,56.871,392,0.143,47
Poland,Europe,5976364,15744.618,9394,24.748,1324,115594,304.53,347,0.914,58
Mexico,Americas,5683288,4407.947,14454,11.21,12144,323403,250.831,120,0.093,85
Ukraine,Europe,4982249,11392.227,13368,30.567,2025,108118,247.219,138,0.316,20
Australia,Western Pacific,4720638,18512.39,393797,1544.309,63589,6495,25.471,501,1.965,33
Malaysia,Western Pacific,4292585,13262.637,90666,280.127,11994,35228,108.843,245,0.757,36
Austria,Europe,3998130,44917.439,120378,1352.4,15670,15982,179.552,176,1.977,10
Israel,Europe,3983671,46024.518,63518,733.842,6546,10559,121.991,21,0.243,0
Belgium,Europe,3915732,33983.531,49669,431.063,10,30997,269.014,138,1.198,3
Czechia,Europe,3855898,36056.854,33745,315.553,4982,39844,372.585,134,1.253,8
Thailand,South-East Asia,3833048,5491.475,176322,252.61,25140,25877,37.073,655,0.938,89
South Africa,Africa,3728689,6286.918,9736,16.416,1481,100075,168.736,43,0.073,5
Philippines,Western Pacific,3680514,3358.713,1919,1.751,278,59591,54.381,342,0.312,169
Portugal,Europe,3657785,35526.586,58778,570.887,9191,21851,212.23,133,1.292,21
Peru,Americas,3549511,10765.276,2815,8.538,483,212396,644.174,189,0.573,24
Canada,Americas,3535095,9366.437,57363,151.987,13597,37850,100.286,244,0.646,78
Switzerland,Europe,3512106,40580.717,19445,224.678,0,13031,150.567,12,0.139,0
Chile,Americas,3500670,18312.582,29734,155.543,4781,56912,297.716,332,1.737,90
Greece,Europe,3137714,29273.639,107819,1005.909,10858,27968,260.93,454,4.236,76
Denmark,Europe,3078295,52866.569,19522,335.27,2747,5837,100.245,139,2.387,24
Romania,Europe,2868777,14841.953,15207,78.675,1984,65170,337.165,155,0.802,23
Sweden,Europe,2491980,24129.349,4128,39.971,819,18506,179.19,33,0.32,0
Iraq,Eastern Mediterranean,2321095,5770.639,1545,3.841,0,25179,62.599,15,0.037,0
Serbia,Europe,1986439,28677.979,9872,142.521,1354,15862,228.998,63,0.91,12
Bangladesh,South-East Asia,1951911,1185.208,253,0.154,0,29123,17.684,1,0.001,0
Hungary,Europe,1868007,19120.754,13809,141.348,2400,45721,467.996,211,2.16,37
Slovakia,Europe,1745268,31977.072,28630,524.563,3573,19523,357.703,155,2.84,23
Jordan,Eastern Mediterranean,1694216,16604.859,1731,16.965,0,14048,137.683,17,0.167,0
Georgia,Europe,1650981,41386.527,2328,58.358,273,16766,420.287,18,0.451,1
Pakistan,Eastern Mediterranean,1526093,690.876,1300,0.589,170,30361,13.745,6,0.003,0
Ireland,Europe,1484321,29899.062,24946,502.494,3150,6843,137.84,72,1.45,19
Norway,Europe,1412966,26324.079,7391,137.697,534,2667,49.687,149,2.776,0
Kazakhstan,Europe,1394014,7424.167,194,1.033,30,19013,101.258,1,0.005,0
Morocco,Eastern Mediterranean,1163726,3152.827,512,1.387,0,16061,43.513,1,0.003,0
Bulgaria,Europe,1144107,16458.462,5184,74.574,683,36672,527.542,143,2.057,17
Singapore,Western Pacific,1128155,19283.574,31727,542.31,4269,1290,22.05,22,0.376,3
Croatia,Europe,1106557,27267.423,7381,181.88,1242,15652,385.692,77,1.897,6
Cuba,Americas,1095006,9667.548,4721,41.681,654,8517,75.195,7,0.062,0
Lebanon,Eastern Mediterranean,1093850,16026.061,2073,30.372,0,10326,151.287,30,0.44,0
Lithuania,Europe,1038963,37184.307,11496,411.44,1498,8954,320.462,63,2.255,11
Tunisia,Eastern Mediterranean,1037358,8777.32,1474,12.472,0,28425,240.51,102,0.863,0
Slovenia,Europe,982784,46891.659,14324,683.442,2107,7454,355.653,17,0.811,1
Nepal,South-East Asia,978556,3358.487,114,0.391,11,11951,41.017,0,0,0
Belarus,Europe,967731,10241.276,5024,53.168,913,6866,72.661,47,0.497,4
China,Western Pacific,935640,63.593,25917,1.762,3475,14048,0.955,732,0.05,97
Finland,Europe,920692,16663.228,24487,443.18,0,3334,60.341,3,0.054,0
Mongolia,Western Pacific,919870,28059.446,555,16.93,86,2108,64.302,0,0,0
Bolivia (Plurinational State of),Americas,902920,7735.101,785,6.725,0,21897,187.586,2,0.017,0
United Arab Emirates,Eastern Mediterranean,892929,9028.238,1629,16.471,0,2302,23.275,0,0,0
Uruguay,Americas,891800,25672.692,4772,137.374,820,7176,206.579,20,0.576,5
Ecuador,Americas,863398,4893.699,2845,16.125,528,35461,200.991,38,0.215,12
Costa Rica,Americas,841343,16515.97,3515,69.001,0,8327,163.463,29,0.569,0
Guatemala,Americas,832956,4649.342,5360,29.918,797,17350,96.843,50,0.279,12
Latvia,Europe,806425,42272.662,7530,394.721,1072,5655,296.434,54,2.831,3
Azerbaijan,Europe,792166,7812.924,234,2.308,25,9703,95.698,11,0.108,2
Panama,Americas,765930,17751.364,1687,39.098,253,8172,189.396,4,0.093,0
Saudi Arabia,Eastern Mediterranean,751518,2158.674,704,2.022,114,9054,26.007,9,0.026,1
New Zealand,Western Pacific,750385,15560.944,79131,1640.962,9975,426,8.834,112,2.323,0
Sri Lanka,South-East Asia,662425,3093.529,644,3.007,0,16488,76.999,9,0.042,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,656287,12864.806,537,10.526,0,5655,110.852,0,0,0
Paraguay,Americas,648353,9090.074,448,6.281,0,18731,262.613,67,0.939,0
Kuwait,Eastern Mediterranean,629525,14741.003,247,5.784,0,2554,59.805,0,0,0
Myanmar,South-East Asia,612132,1125.04,458,0.842,0,19434,35.718,3,0.006,0
Dominican Republic,Americas,578377,5331.691,339,3.125,0,4375,40.33,0,0,0
Estonia,Europe,562939,42358.854,5727,430.933,828,2486,187.061,23,1.731,5
Bahrain,Eastern Mediterranean,558007,32793.559,4257,250.18,0,1472,86.508,2,0.118,0
Venezuela (Bolivarian Republic of),Americas,521105,1832.558,732,2.574,75,5689,20.006,7,0.025,1
Republic of Moldova,Europe,515121,12769.602,1364,33.813,239,11460,284.088,25,0.62,5
Egypt,Eastern Mediterranean,509177,497.562,3913,3.824,0,24473,23.915,56,0.055,0
Libya,Eastern Mediterranean,501738,7301.946,33,0.48,0,6419,93.418,4,0.058,0
Puerto Rico,Americas,484286,16928.028,3710,129.682,1114,4172,145.831,2,0.07,1
Ethiopia,Africa,469979,408.807,221,0.192,63,7508,6.531,11,0.01,0
Cyprus,Europe,452172,50919.984,21608,2433.32,2457,952,107.207,17,1.914,2
Armenia,Europe,422643,14262.897,103,3.476,14,8619,290.865,3,0.101,0
Honduras,Americas,421268,4253.253,206,2.08,98,10888,109.929,8,0.081,3
Oman,Eastern Mediterranean,388603,7609.78,260,5.091,32,4253,83.284,3,0.059,0
Bosnia and Herzegovina,Europe,376028,11461.42,588,17.922,80,15728,479.393,15,0.457,0
Qatar,Eastern Mediterranean,362273,12574.326,858,29.781,0,677,23.498,0,0,0
Réunion,Africa,347941,38862.542,10996,1228.175,0,720,80.419,11,1.229,0
Kenya,Africa,323506,601.633,83,0.154,9,5648,10.504,0,0,0
Zambia,Africa,317483,1726.957,633,3.443,125,3967,21.579,1,0.005,0
North Macedonia,Europe,307344,14752.182,1365,65.519,202,9236,443.318,15,0.72,2
Albania,Europe,274108,9524.915,431,14.977,53,3492,121.343,0,0,0
Algeria,Africa,265707,605.931,36,0.082,2,6874,15.676,0,0,0
Botswana,Africa,263950,11224.144,0,0,0,2619,111.37,0,0,0
Nigeria,Africa,255575,123.982,107,0.052,0,3142,1.524,0,0,0
Zimbabwe,Africa,246870,1660.979,584,3.929,67,5455,36.702,11,0.074,2
Uzbekistan,Europe,237994,711.084,207,0.618,27,1637,4.891,0,0,0
Montenegro,Europe,233577,37190.118,469,74.674,56,2706,430.849,4,0.637,0
Kosovo[1],Europe,227612,12675.631,184,10.247,27,3127,174.142,3,0.167,0
Mozambique,Africa,225275,720.755,19,0.061,3,2200,7.039,0,0,0
Luxembourg,Europe,222804,35585.554,6973,1113.706,1249,1042,166.425,5,0.799,0
Mauritius,Africa,214860,16894.591,1294,101.748,0,985,77.451,0,0,0
Kyrgyzstan,Europe,200969,3080.367,23,0.353,1,2991,45.845,2,0.031,0
Lao People's Democratic Republic,Western Pacific,191018,2625.475,14120,194.074,2033,687,9.443,22,0.302,3
Iceland,Europe,182633,50155.437,1243,341.358,0,102,28.012,1,0.275,0
Afghanistan,Eastern Mediterranean,177974,457.184,227,0.583,0,7671,19.705,1,0.003,0
Maldives,South-East Asia,177665,32867.815,40,7.4,0,298,55.13,0,0,0
Uganda,Africa,163915,358.355,47,0.103,0,3596,7.862,0,0,0
El Salvador,Americas,161570,2490.979,518,7.986,0,4121,63.535,2,0.031,0
Ghana,Africa,161034,518.245,20,0.064,0,1445,4.65,0,0,0
Namibia,Africa,157825,6211.37,162,6.376,0,4020,158.211,1,0.039,0
Martinique,Americas,147363,39269.05,1856,494.584,371,918,244.627,4,1.066,0
Guadeloupe,Americas,139516,34868.191,3535,883.476,0,938,234.427,7,1.749,0
Trinidad and Tobago,Americas,139397,9960.571,1640,117.186,283,3770,269.384,24,1.715,4
Brunei Darussalam,Western Pacific,137585,31449.51,3173,725.292,346,156,35.659,3,0.686,0
Cambodia,Western Pacific,135861,812.616,236,1.412,27,3055,18.273,1,0.006,0
Rwanda,Africa,129743,1001.705,21,0.162,1,1459,11.264,0,0,0
Jamaica,Americas,128950,4354.702,193,6.518,26,2901,97.968,13,0.439,2
Cameroon,Africa,119544,450.33,0,0,0,1927,7.259,0,0,0
Angola,Africa,99194,301.811,25,0.076,0,1900,5.781,0,0,0
Democratic Republic of the Congo,Africa,86748,96.859,1,0.001,1,1337,1.493,0,0,0
Senegal,Africa,85940,513.261,45,0.269,9,1965,11.736,1,0.006,0
Malawi,Africa,85683,447.9,43,0.225,7,2628,13.738,2,0.01,1
Malta,Europe,84398,16401.847,4859,944.295,731,652,126.709,14,2.721,2
Côte d’Ivoire,Africa,81800,310.104,59,0.224,0,796,3.018,0,0,0
French Guiana,Americas,79529,26626.646,850,284.584,454,394,131.913,0,0,0
Suriname,Americas,79241,13507.787,39,6.648,0,1325,225.866,1,0.17,0
French Polynesia,Western Pacific,72528,25819.129,210,74.758,55,648,230.681,2,0.712,0
Eswatini,Africa,69947,6029.061,176,15.17,20,1395,120.242,1,0.086,0
Fiji,Western Pacific,64471,7191.852,67,7.474,0,834,93.034,0,0,0
Madagascar,Africa,64050,231.302,0,0,0,1388,5.012,0,0,0
Guyana,Americas,63294,8047.02,48,6.103,11,1226,155.87,0,0,0
Sudan,Eastern Mediterranean,61987,141.364,22,0.05,0,4907,11.191,0,0,0
Barbados,Americas,61267,21319.53,2187,761.027,377,377,131.187,3,1.044,1
New Caledonia,Western Pacific,60494,21188.94,81,28.371,2,312,109.283,1,0.35,0
Mauritania,Africa,58710,1262.674,41,0.882,35,982,21.12,0,0,0
Belize,Americas,57270,14402.909,-7,-1.76,-48,660,165.984,6,1.509,4
Cabo Verde,Africa,55966,10066.063,9,1.619,0,401,72.124,0,0,0
Syrian Arab Republic,Eastern Mediterranean,55727,318.428,39,0.223,0,3145,17.971,5,0.029,0
Jersey,Europe,47746,44292.924,1145,1062.192,185,121,112.249,1,0.928,0
Gabon,Africa,47588,2138.081,0,0,0,303,13.613,0,0,0
Papua New Guinea,Western Pacific,43424,485.346,50,0.559,0,643,7.187,0,0,0
Seychelles,Africa,41059,41749.113,573,582.631,0,163,165.74,0,0,0
Curaçao,Americas,40802,24865.168,456,277.891,0,267,162.713,0,0,0
Andorra,Europe,40328,52194.396,304,393.451,0,153,198.02,0,0,0
Guam,Western Pacific,39925,23655.755,87,51.548,0,352,208.562,6,3.555,0
Burundi,Africa,38663,325.151,88,0.74,0,15,0.126,0,0,0
Bhutan,South-East Asia,37049,4801.531,7910,1025.132,0,12,1.555,1,0.13,0
Mayotte,Africa,36958,13546.909,67,24.559,67,187,68.545,0,0,0
Togo,Africa,36955,446.385,12,0.145,0,272,3.286,0,0,0
Guinea,Africa,36459,277.618,0,0,0,440,3.35,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Aruba,Americas,34089,31928.704,123,115.205,0,212,198.565,0,0,0
United Republic of Tanzania,Africa,33815,56.609,0,0,0,800,1.339,0,0,0
Bahamas,Americas,33315,8471.839,32,8.137,0,788,200.384,0,0,0
Lesotho,Africa,32910,1536.236,0,0,0,697,32.536,0,0,0
Haiti,Americas,30575,268.142,8,0.07,0,833,7.305,0,0,0
Mali,Africa,30527,150.744,43,0.212,8,729,3.6,2,0.01,1
Isle of Man,Europe,30169,35479.584,1279,1504.14,0,87,102.314,3,3.528,0
Benin,Africa,26595,219.373,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,26471,166.555,61,0.384,0,1361,8.563,0,0,0
Congo,Africa,24079,436.365,62,1.124,62,385,6.977,0,0,0
Saint Lucia,Americas,22998,12524.302,45,24.506,21,365,198.773,0,0,0
Timor-Leste,South-East Asia,22842,1732.495,10,0.758,0,130,9.86,0,0,0
Guernsey,Europe,22257,34524.105,0,0,0,36,55.842,0,0,0
Cayman Islands,Americas,21121,32137.858,515,783.628,0,25,38.04,0,0,0
Burkina Faso,Africa,20858,99.783,0,0,0,382,1.827,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
South Sudan,Africa,17333,154.846,71,0.634,12,138,1.233,0,0,0
Gibraltar,Europe,17236,51159.063,316,937.936,33,101,299.783,0,0,0
Liechtenstein,Europe,16583,42798.152,158,407.774,0,82,211.629,0,0,0
Equatorial Guinea,Africa,16001,1140.497,97,6.914,97,183,13.044,0,0,0
United States Virgin Islands,Americas,15740,15073.019,104,99.593,14,111,106.296,0,0,0
San Marino,Europe,15629,46051.624,232,683.6,48,114,335.907,1,2.947,0
Djibouti,Eastern Mediterranean,15591,1578.036,6,0.607,0,189,19.13,0,0,0
Central African Republic,Africa,14339,296.888,0,0,0,113,2.34,0,0,0
Nicaragua,Americas,14306,215.954,37,0.559,0,231,3.487,1,0.015,0
Grenada,Americas,14024,12463.23,12,10.664,0,218,193.738,0,0,0
Bermuda,Americas,12711,20411.735,181,290.656,32,129,207.152,2,3.212,0
Solomon Islands,Western Pacific,12005,1747.748,535,77.888,149,137,19.945,4,0.582,3
Gambia,Africa,11990,496.138,1,0.041,0,365,15.103,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Dominica,Americas,11897,16525.677,38,52.784,0,63,87.511,0,0,0
Yemen,Eastern Mediterranean,11812,39.603,7,0.023,0,2144,7.188,1,0.003,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,11158,19386,93,161.579,0,33,57.334,0,0,0
Monaco,Europe,11070,28208.134,312,795.026,51,54,137.601,0,0,0
Saint Martin,Americas,10069,26045.681,81,209.524,0,44,113.816,0,0,0
Sint Maarten,Americas,9787,22823.096,89,207.546,0,86,200.55,0,0,0
Eritrea,Africa,9729,274.333,1,0.028,0,103,2.904,0,0,0
Niger,Africa,8822,36.445,12,0.05,0,308,1.272,0,0,0
Saint Vincent and the Grenadines,Americas,8339,7516.676,4,3.606,0,106,95.547,0,0,0
Guinea-Bissau,Africa,8172,415.244,21,1.067,0,170,8.638,0,0,0
Comoros,Africa,8093,930.657,5,0.575,0,160,18.399,0,0,0
Sierra Leone,Africa,7675,96.214,1,0.013,0,125,1.567,0,0,0
Tonga,Western Pacific,7665,7251.999,1242,1175.079,137,9,8.515,3,2.838,0
Bonaire,Americas,7663,36638.776,472,2256.754,0,28,133.875,0,0,0
Antigua and Barbuda,Americas,7493,7651.462,2,2.042,0,135,137.855,0,0,0
Liberia,Africa,7400,146.312,1,0.02,1,294,5.813,0,0,0
Chad,Africa,7349,44.74,2,0.012,2,192,1.169,0,0,0
British Virgin Islands,Americas,6155,20355.855,14,46.301,0,62,205.047,0,0,0
Sao Tome and Principe,Africa,5948,2714.011,0,0,0,73,33.309,0,0,0
Turks and Caicos Islands,Americas,5923,15297.794,13,33.576,0,36,92.98,0,0,0
Saint Kitts and Nevis,Americas,5551,10435.78,2,3.76,0,43,80.839,0,0,0
American Samoa,Western Pacific,5018,9091.074,1201,2175.843,0,8,14.494,4,7.247,0
Vanuatu,Western Pacific,4922,1602.5,1543,502.369,130,3,0.977,1,0.326,0
