Date,New Cases,7-day Average New Cases,Cum_cases,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,percent_test_results_reported_positive_last_7_days,community_transmission_level,Distributed,Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Additional_Doses,Additional_Doses_Vax_Pct
2021-08-23,3085.0,2657.6,1288450.0,12801989.0,1691.8,1335.8,673519.1,7.788507462686567,3.0,17370885.0,15172755.0,8756622.0,68.4,6954691.0,54.3,0.0,0.0
2021-08-24,3692.0,2865.7999999999997,1292142.0,12801989.0,1913.3,1446.7,675433.2,8.07,3.0,17370885.0,15190103.0,8766124.0,68.5,6962263.0,54.4,0.0,0.0
2021-08-25,3248.0,2764.2,1295390.0,12801989.0,1650.1,1411.5,677082.8,8.288059701492537,3.0,17421485.0,15218928.0,8781535.0,68.6,6974946.0,54.5,0.0,0.0
2021-08-26,3966.0,2972.7999999999997,1299356.0,12801989.0,2258.5,1564.4,679341.2,8.549402985074627,3.0,17625235.0,15253030.0,8799978.0,68.7,6989211.0,54.6,0.0,0.0
2021-08-27,3858.0,3123.1,1303214.0,12801989.0,2005.5,1647.5,681347.3,9.145671641791045,3.0,17739485.0,15292961.0,8822710.0,68.9,7004761.0,54.7,0.0,0.0
2021-08-28,2588.0,3180.2000000000003,1305802.0,12801989.0,1328.0,1678.0,682675.3,9.677462686567164,3.0,17806425.0,15331833.0,8842653.0,69.1,7022532.0,54.9,0.0,0.0
2021-08-29,2540.0,3282.1,1308342.0,12801989.0,1328.2,1739.7,684002.8,10.093731343283581,3.0,17818045.0,15365996.0,8860352.0,69.2,7037389.0,55.0,0.0,0.0
2021-08-30,3578.0,3353.1,1311920.0,12801989.0,2168.7,1807.5,686171.8,10.176865671641792,3.0,17818045.0,15388826.0,8872244.0,69.3,7047739.0,55.1,0.0,0.0
2021-08-31,3933.0,3387.3,1315853.0,12801989.0,2319.1,1865.4,688490.8,10.262985074626865,3.0,17853915.0,15403600.0,8880224.0,69.4,7054540.0,55.1,0.0,0.0
2021-09-01,3729.0,3455.8,1319582.0,12801989.0,2062.1,1924.3,690553.0,10.500597014925372,3.0,17916445.0,15439653.0,8897546.0,69.5,7071957.0,55.2,0.0,0.0
2021-09-02,4065.0,3469.8,1323647.0,12801989.0,2692.5,1986.2,693245.8,10.445074626865672,3.0,18004925.0,15473377.0,8914365.0,69.6,7087237.0,55.4,0.0,0.0
2021-09-03,4660.0,3584.3,1328307.0,12801989.0,2904.3,2114.5,696149.9,10.513880597014925,3.0,18100875.0,15505628.0,8930547.0,69.8,7101884.0,55.5,0.0,0.0
2021-09-04,3110.0,3659.3,1331417.0,12801989.0,1741.2,2173.3,697891.6,10.612686567164179,3.0,18178055.0,15536659.0,8945765.0,69.9,7115870.0,55.6,0.0,0.0
2021-09-05,2486.0,3651.7,1333903.0,12801989.0,1388.1,2182.3,699280.1,11.050746268656717,3.0,18177515.0,15558256.0,8956413.0,70.0,7125538.0,55.7,0.0,0.0
2021-09-06,2316.0,3471.6,1336219.0,12801989.0,1260.2,2052.4,700540.4,11.04761194029851,3.0,18177655.0,15576507.0,8965459.0,70.0,7134346.0,55.7,0.0,0.0
2021-09-07,5033.0,3628.7,1341252.0,12801989.0,3345.1,2199.4,703885.6,11.026567164179104,3.0,18177655.0,15606032.0,8981050.0,70.2,7146396.0,55.8,0.0,0.0
2021-09-08,4340.0,3715.3,1345592.0,12801989.0,2884.0,2316.8,706769.1,10.865074626865672,3.0,18196375.0,15617396.0,8987144.0,70.2,7151968.0,55.9,0.0,0.0
2021-09-09,5195.0,3876.6,1350787.0,12801989.0,3590.4,2444.5,710360.0,11.128507462686567,3.0,18288375.0,15642841.0,8999257.0,70.3,7164447.0,56.0,0.0,0.0
2021-09-10,5402.0,3983.3,1356189.0,12801989.0,3689.1,2556.6,714048.0,11.405373134328357,3.0,18342685.0,15676313.0,9015443.0,70.4,7180058.0,56.1,0.0,0.0
2021-09-11,3784.0,4079.4,1359973.0,12801989.0,2470.7000000000003,2661.2,716519.0,11.734179104477613,3.0,18417345.0,15709016.0,9031923.0,70.6,7195222.0,56.2,0.0,0.0
2021-09-12,3130.0,4171.2,1363103.0,12801989.0,1774.7,2716.3,718293.5,10.929402985074626,3.0,18417345.0,15714069.0,9034840.0,70.6,7197632.0,56.2,0.0,0.0
2021-09-13,4729.0,4516.1,1367832.0,12801989.0,3480.7,3033.3,721774.4,11.002537313432835,3.0,18417345.0,15759838.0,9057958.0,70.8,7218057.0,56.4,0.0,0.0
2021-09-14,4033.0,4373.6,1371865.0,12801989.0,2637.3,2932.3,724411.7,11.047611940298507,3.0,18433265.0,15776966.0,9066932.0,70.8,7226149.0,56.4,0.0,0.0
2021-09-15,6287.0,4651.3,1378152.0,12801989.0,4737.9,3197.2,729149.4,11.02820895522388,3.0,18499295.0,15803009.0,9079748.0,70.9,7238415.0,56.5,0.0,0.0
2021-09-16,5737.0,4729.0,1383889.0,12801989.0,3946.5,3248.0,733096.2,11.151641791044776,3.0,18608175.0,15838570.0,9097304.0,71.1,7255560.0,56.7,0.0,0.0
2021-09-17,5311.0,4715.599999999999,1389200.0,12801989.0,3624.6,3239.3,736720.7,10.95238805970149,3.0,18733375.0,15870658.0,9113177.0,71.2,7270956.0,56.8,0.0,0.0
2021-09-18,4526.0,4821.8,1393726.0,12801989.0,3106.7,3329.8,739827.4,11.214179104477612,3.0,18886495.0,15871428.0,9114072.0,71.2,7271729.0,56.8,0.0,0.0
2021-09-19,2550.0,4739.0,1396276.0,12801989.0,1678.6,3316.4,741505.9,11.363880597014925,3.0,18886695.0,15899334.0,9127481.0,71.3,7285038.0,56.9,0.0,0.0
2021-09-20,4868.0,4758.7,1401144.0,12801989.0,3431.7,3309.2,744938.1,11.263134328358209,3.0,18886695.0,15917396.0,9136195.0,71.4,7294262.0,57.0,0.0,0.0
2021-09-21,4603.0,4840.4,1405747.0,12801989.0,3226.6,3393.4,748164.7,11.352686567164179,3.0,18897905.0,15934159.0,9144388.0,71.4,7302523.0,57.0,0.0,0.0
2021-09-22,5607.0,4742.7,1411354.0,12801989.0,3729.6,3249.2,751894.2,11.445970149253732,3.0,18950365.0,15958141.0,9155640.0,71.5,7313723.0,57.1,0.0,0.0
2021-09-23,5099.0,4651.8,1416453.0,12801989.0,3757.3,3221.6,755651.8,11.672985074626865,3.0,19061995.0,16014184.0,9182757.0,71.7,7339324.0,57.3,0.0,0.0
2021-09-24,5368.0,4659.8,1421821.0,12801989.0,3768.8,3242.9,759419.4,11.686567164179104,3.0,19128845.0,16038687.0,9194768.0,71.8,7350438.0,57.4,0.0,0.0
2021-09-30,5457.0,4754.6,1449732.0,12801989.0,3563.9,3347.8,779089.1,11.797462686567165,3.0,19275615.0,16205819.0,9283640.0,72.5,7405158.0,57.8,0.0,0.0
2021-10-01,4038.0,4564.2,1453770.0,12801989.0,2861.3,3218.8,781950.6,11.78,3.0,19392885.0,16248312.0,9303585.0,72.7,7418431.0,57.9,0.0,0.0
2021-10-02,5796.0,4792.7,1459566.0,12801989.0,3977.0,3376.9,785927.6,11.968805970149253,3.0,19438775.0,16275456.0,9315002.0,72.8,7426237.0,58.0,0.0,0.0
2021-10-03,3968.0,4921.8,1463534.0,12801989.0,2593.5,3433.0,788520.9,11.855820895522388,3.0,19443325.0,16326642.0,9342432.0,73.0,7437862.0,58.1,0.0,0.0
2021-10-04,4818.0,4848.1,1468352.0,12801989.0,3303.3,3346.4,791824.1,12.081940298507464,3.0,19443325.0,16365545.0,9364156.0,73.1,7447512.0,58.2,0.0,0.0
2021-10-05,4929.0,4857.6,1473281.0,12801989.0,3492.8,3348.8,795317.1,12.148955223880597,3.0,19474165.0,16390874.0,9376853.0,73.2,7455024.0,58.2,0.0,0.0
2021-10-06,6283.0,5040.9,1479564.0,12801989.0,4413.4,3457.7,799730.6,12.131492537313433,3.0,19501805.0,16428388.0,9394022.0,73.4,7465121.0,58.3,0.0,0.0
2021-10-07,5535.0,5052.5,1485099.0,12801989.0,3990.5,3518.9,803721.5,12.082089552238806,3.0,19562985.0,16485841.0,9423161.0,73.6,7478873.0,58.4,0.0,0.0
2021-10-08,5493.0,5260.3,1490592.0,12801989.0,3807.3,3654.1,807528.6,12.338507462686566,3.0,19691235.0,16551120.0,9456242.0,73.9,7497640.0,58.6,0.0,0.0
2021-10-09,4063.0,5012.9,1494655.0,12801989.0,3087.2,3526.5,810616.4,12.444776119402984,3.0,19735145.0,16612413.0,9488434.0,74.1,7512952.0,58.7,0.0,0.0
2021-10-10,2750.0,4838.6,1497405.0,12801989.0,1887.8,3426.0,812503.4,12.441492537313433,3.0,19731845.0,16614317.0,9489897.0,74.1,7513444.0,58.7,0.0,0.0
2021-10-11,4651.0,4814.4,1502056.0,12801989.0,3555.4,3462.1,816059.1,12.666268656716417,3.0,19726945.0,16671605.0,9517489.0,74.3,7527569.0,58.8,0.0,0.0
2021-10-12,4775.0,4793.1,1506831.0,12801989.0,3290.1,3433.2,819348.9,12.821492537313432,3.0,19775475.0,16694783.0,9528453.0,74.4,7533657.0,58.8,0.0,0.0
2021-10-13,5691.0,4708.2,1512522.0,12801989.0,4082.0,3386.1,823431.3,12.819253731343283,3.0,19817515.0,16720260.0,9539723.0,74.5,7540559.0,58.9,0.0,0.0
2021-10-14,5227.0,4664.2,1517749.0,12801989.0,4085.5,3399.5,827516.7,12.806417910447761,3.0,19917895.0,16766705.0,9561896.0,74.7,7552044.0,59.0,0.0,0.0
2021-10-15,4766.0,4560.6,1522515.0,12801989.0,3315.5,3329.7,830831.9,12.902985074626866,3.0,20013925.0,16848695.0,9600067.0,75.0,7581872.0,59.2,0.0,0.0
2021-10-17,2934.0,4533.5,1529141.0,12801989.0,1876.3,3216.8,835020.0,12.625522388059702,3.0,20072035.0,16935426.0,9639304.0,75.3,7614096.0,59.5,0.0,0.0
2021-10-18,3868.0,4422.4,1533009.0,12801989.0,2616.7,3082.2,837636.9,12.543582089552238,3.0,20071235.0,16997690.0,9671064.0,75.5,7628425.0,59.6,0.0,0.0
2021-10-19,4441.0,4374.2,1537450.0,12801989.0,3410.4,3100.0,841047.0,12.214925373134328,3.0,20123205.0,17004215.0,9674896.0,75.6,7630178.0,59.6,0.0,0.0
2021-10-20,4345.0,4181.8,1541795.0,12801989.0,3065.2000000000003,2954.4,844112.5,12.235820895522387,3.0,20156785.0,17058311.0,9693993.0,75.7,7651629.0,59.8,282320.0,3.6
2021-10-21,4651.0,4099.7,1546446.0,12801989.0,3174.3,2824.6,847286.5,12.340746268656718,3.0,20285625.0,17099948.0,9713619.0,75.9,7661645.0,59.8,294836.0,3.8
2021-10-22,4926.0,4122.2,1551372.0,12801989.0,3519.3,2853.4,850805.8,12.191641791044777,3.0,20400035.0,17146754.0,9739348.0,76.1,7673543.0,59.9,312401.0,4.1
2021-10-23,2968.0,4018.8,1554340.0,12801989.0,1932.1,2799.1,852738.1,12.047910447761195,3.0,20445385.0,17198354.0,9763204.0,76.3,7685449.0,60.0,328480.0,4.3
2021-10-24,2501.0,3956.8,1556841.0,12801989.0,1668.7,2769.3,854405.8,11.703432835820896,3.0,20442995.0,17237442.0,9780710.0,76.4,7693124.0,60.1,342576.0,4.5
