"county_name","FIPS","Cases_Per_100k","percent_tested_positive","transmission_level"
"Adams County",42001,310.981111111111,15.9552054794521,3.84018264840183
"Allegheny County",42003,277.883080808081,11.1111415525114,3.85844748858448
"Armstrong County",42005,397.010485436893,20.2830593607306,3.84018264840183
"Beaver County",42007,366.561288659794,14.4924657534247,3.87671232876712
"Bedford County",42009,402.928493150685,17.4464840182648,3.88584474885845
"Berks County",42011,274.146262626263,15.2817808219178,3.78995433789954
"Blair County",42013,376.133253588517,11.8472146118721,3.8675799086758
"Bradford County",42015,349.139170984456,14.7331050228311,3.87214611872146
"Bucks County",42017,223.677832512315,9.85812785388128,3.78995433789954
"Butler County",42019,354.4608,14.7950684931507,3.83561643835616
"Cambria County",42021,354.231134020619,10.5372602739726,3.83561643835616
"Cameron County",42023,306.177685185185,14.8406392694064,3.76712328767123
"Carbon County",42025,353.2685,14.9671689497717,3.80821917808219
"Centre County",42027,274.753267326733,11.1145205479452,3.80821917808219
"Chester County",42029,223.083910891089,9.98849315068493,3.79908675799087
"Clarion County",42031,400.633119266055,15.3168949771689,3.80821917808219
"Clearfield County",42033,347.764482758621,11.7265296803653,3.93607305936073
"Clinton County",42035,363.02198019802,13.0353881278539,3.81735159817352
"Columbia County",42037,366.83395,17.5350228310502,3.89497716894977
"Crawford County",42039,385.111336633663,24.34,3.83561643835616
"Cumberland County",42041,302.443054187192,13.5612785388128,3.84018264840183
"Dauphin County",42043,276.36865,16.0305479452055,3.80365296803653
"Delaware County",42045,196.44045,9.82420091324201,3.7351598173516
"Elk County",42047,381.061617647059,14.360502283105,3.86301369863014
"Erie County",42049,330.916237623762,15.6750228310502,3.85844748858448
"Fayette County",42051,358.962079207921,13.615296803653,3.90867579908676
"Forest County",42053,283.478834951456,7.33027397260274,3.76255707762557
"Franklin County",42055,338.844784946237,16.5620547945205,3.82648401826484
"Fulton County",42057,519.009849246231,12.1274429223744,3.89041095890411
"Greene County",42059,392.895314009662,10.1054337899543,3.94520547945205
"Huntingdon County",42061,335.827727272727,10.4303652968037,3.8310502283105
"Indiana County",42063,350.518529411765,12.6325114155251,3.88127853881279
"Jefferson County",42065,395.573472222222,15.669497716895,3.94520547945205
"Juniata County",42067,326.086347031963,12.1822374429224,3.78538812785388
"Lackawanna County",42069,263.814949494949,12.1275342465753,3.84931506849315
"Lancaster County",42071,277.818190954774,15.2118264840183,3.79908675799087
"Lawrence County",42073,342.186896551724,15.1813698630137,3.85388127853881
"Lebanon County",42075,322.988172588832,17.7337899543379,3.78995433789954
"Lehigh County",42077,251.83693877551,14.5246118721461,3.74429223744292
"Luzerne County",42079,301.40435,14.1071232876712,3.8310502283105
"Lycoming County",42081,381.595223880597,14.4981735159817,3.78995433789954
"McKean County",42083,319.270787037037,21.3423744292237,3.84018264840183
"Mercer County",42085,336.168390243902,15.9269406392694,3.7716894977169
"Mifflin County",42087,363.420979381443,14.3469863013699,3.81278538812785
"Monroe County",42089,271.149095477387,16.2692237442922,3.78538812785388
"Montgomery County",42091,213.85665,9.29648401826484,3.84474885844749
"Montour County",42093,319.493248730964,14.3014611872146,3.85844748858448
"Northampton County",42095,287.397908163265,14.0491780821918,3.78995433789954
"Northumberland County",42097,354.518934010152,16.0874885844749,3.82648401826484
"Perry County",42099,331.502374429224,18.4269406392694,3.80365296803653
"Philadelphia County",42101,179.877286432161,8.57767123287671,3.75799086757991
"Pike County",42103,273.551642512077,14.2715068493151,3.89954337899543
"Potter County",42105,356.764063926941,18.5369863013699,3.91324200913242
"Schuylkill County",42107,352.1424,17.5793607305936,3.8675799086758
"Snyder County",42109,338.563652968037,12.8812785388128,3.81278538812785
"Somerset County",42111,367.543980099503,11.2570776255708,3.8310502283105
"Sullivan County",42113,268.77238317757,8.02296803652968,3.65753424657534
"Susquehanna County",42115,364.066650943396,18.4412328767123,3.87671232876712
"Tioga County",42117,372.566210045662,15.563196347032,3.85388127853881
"Union County",42119,325.118695652174,11.2091324200913,3.87214611872146
"Venango County",42121,421.333878504673,16.9880365296804,3.82191780821918
"Warren County",42123,371.555844748858,20.4533333333333,3.88584474885845
"Washington County",42125,354.194404145078,14.5427853881279,3.87214611872146
"Wayne County",42127,322.127047619048,13.7582648401826,3.89954337899543
"Westmoreland County",42129,331.970891089109,13.419497716895,3.83561643835616
"Wyoming County",42131,329.171226415094,17.6023287671233,3.77625570776256
"York County",42133,323.534784946237,17.2207762557078,3.83561643835616
