"FIPS","Jurisdiction","seven_day_avg_cases","Population","New_Case_Rate","seven_day_avg_case_rate","Cumulative_Case_Rate","county_name","Cases_Per_100k","percent_tested_positive","transmission_level","TotalScore","MaxScore","HHAScore","PoveryPer","LIA_Score","Rural","Rural_Score","Completeness_pct","Administered_Dose1_Recip","Administered_Dose1_Recip_5Plus","Administered_Dose1_Recip_5PlusPop_Pct","Administered_Dose1_Recip_12Plus","Administered_Dose1_Recip_12PlusPop_Pct","Administered_Dose1_Recip_18Plus","Administered_Dose1_Recip_18PlusPop_Pct","Administered_Dose1_Recip_65Plus","Administered_Dose1_Recip_65PlusPop_Pct","Series_Complete_Yes","Series_Complete_Pop_Pct","Series_Complete_5Plus","Series_Complete_5PlusPop_Pct","Series_Complete_12Plus","Series_Complete_12PlusPop_Pct","Series_Complete_18Plus","Series_Complete_18PlusPop_Pct","Series_Complete_65Plus","Series_Complete_65PlusPop_Pct","Booster_Doses","Booster_Doses_Vax_Pct","Booster_Doses_12Plus","Booster_Doses_12Plus_Vax_Pct","Booster_Doses_18Plus","Booster_Doses_18Plus_Vax_Pct","Booster_Doses_50Plus","Booster_Doses_50Plus_Vax_Pct","Booster_Doses_65Plus","Booster_Doses_65Plus_Vax_Pct","Series_Complete_Pop_Pct_SVI","Series_Complete_5PlusPop_Pct_SVI","Series_Complete_12PlusPop_Pct_SVI","Series_Complete_18PlusPop_Pct_SVI","Series_Complete_65PlusPop_Pct_SVI","Series_Complete_Pop_Pct_UR_Equity","Series_Complete_5PlusPop_Pct_UR_Equity","Series_Complete_12PlusPop_Pct_UR_Equity","Series_Complete_18PlusPop_Pct_UR_Equity","Series_Complete_65PlusPop_Pct_UR_Equity"
"42001","Adams",33.0502680965147,103009,31.7925630810093,32.0840482573727,23940.6,"Adams County",310.981111111111,15.9552054794521,3.84018264840183,30,18.7391304347826,15,0.0826260869565217,15,0.434782608695652,2.17391304347826,94.7,64567,64561,65.9,63567,70.6,60466,73.2,22807,99.9,56748,55.1,56745,57.9,55384,61.5,52494,63.5,18423,84.8,26761,47.2,26757,48.3,26107,49.7,60.3,60.3,12772,69.7,4,4,4,4,4,4,4,4,4,4
"42003","Allegheny",351.905898123324,1216045,28.6941567065073,28.9400804289544,21606.2,"Allegheny County",277.883080808081,11.1111415525114,3.85844748858448,30,20.2462686567164,15,0.146805612244898,15,0,0,94.7,1066525,1066428,92.5,1042606,97.9,990817,99.9,317045,100,840179,69.1,840126,72.9,806386,75.7,759999,76.8,203286,86.4,404030,48.1,403917,50.1,390994,51.4,62.8,62.8,142540,70.1,8,8,8,8,8,4,4,8,4,4
"42005","Armstrong",20.3734584450402,64735,31.203187250996,31.4769436997319,23497.3,"Armstrong County",397.010485436893,20.2830593607306,3.84018264840183,35,22.6315789473684,15,0.115389473684211,15,0.631578947368421,3.15789473684211,94.7,43275,43272,70.3,42719,75.3,41021,78.3,16291,100,38564,59.6,38563,62.6,37862,66.7,36235,69.2,13480,92.1,19023,49.3,19023,50.2,18726,51.7,61.1,61.1,9337,69.3,4,4,4,4,4,4,4,4,4,4
"42007","Beaver",53.6459785522788,163929,32.4432934926959,32.7256032171582,24428.3,"Beaver County",366.561288659794,14.4924657534247,3.87671232876712,30,19.2745098039216,15,0.124660784313725,15,0.0784313725490196,0.392156862745098,94.7,103413,99061,63.6,102444,71.4,97583,73.7,30093,83.4,83613,51,83612,53.7,82412,57.5,78280,59.1,21488,59.5,42938,51.4,42936,52.8,42151,54.9,73,73,20014,95,4,4,4,4,3,4,4,4,4,3
"42009","Bedford",14.6725201072386,47888,30.3709163346614,30.6406166219839,22865.9,"Bedford County",402.928493150685,17.4464840182648,3.88584474885845,27,24.4545454545455,15,0.117627272727273,7,1,5,94.7,20656,20655,45.3,20417,48.5,19858,51.3,8413,75,18542,38.7,18542,40.7,18332,43.6,17844,46.1,7475,66.6,8651,46.7,8649,47.2,8570,48,56.2,56.2,4686,62.7,6,7,7,7,7,6,7,7,7,7
"42011","Berks",136.706970509383,421164,32.1734395750332,32.4580428954424,24226.2,"Berks County",274.146262626263,15.2817808219178,3.78995433789954,30,19.8888888888889,15,0.145117777777778,15,0.0555555555555556,0.277777777777778,94.7,308524,302586,76.2,305295,84.6,287395,87.7,91725,100,252231,59.9,252225,63.5,244138,67.7,227429,69.4,66779,90.1,107810,42.7,107790,44.2,104128,45.8,56.7,56.7,40736,64.1,12,12,12,12,12,4,4,12,4,4
"42013","Blair",39.6372654155496,121829,32.239973439575,32.5367292225201,24279.1,"Blair County",376.133253588517,11.8472146118721,3.8675799086758,35,25.1470588235294,15,0.168714705882353,15,0.205882352941176,1.02941176470588,94.7,75857,75854,65.6,74788,70.6,71705,73.8,27548,99.9,63372,52,63371,54.8,62035,58.6,59151,60.8,21214,81.8,26508,41.8,26504,42.7,26054,44,52.8,52.8,12430,58.6,8,8,8,8,8,4,4,8,4,4
"42015","Bradford",20.1018766756032,60323,33.0702523240372,33.3218498659517,24899.3,"Bradford County",349.139170984456,14.7331050228311,3.87214611872146,27,27,15,0.126871428571429,7,1,5,94.7,31828,31827,55.9,31237,60.5,29870,63.3,11427,86.5,25634,42.5,25634,45,25138,48.7,23955,50.8,8745,66.2,11450,44.7,11443,45.5,11262,47,56.6,56.6,5576,63.8,7,7,7,8,7,7,7,7,8,7
"42017","Bucks",164.319839142091,628270,25.935192563081,26.1526809651475,19528.2,"Bucks County",223.677832512315,9.85812785388128,3.78995433789954,30,16.4125874125874,15,0.0619028169014085,15,0.041958041958042,0.20979020979021,94.7,600502,600422,97.5,585461,99.9,548432,99.9,172158,100,449113,71.5,449058,75.1,430693,78.4,397415,79.3,109852,90.9,176284,39.3,176220,40.9,168516,42.4,51.3,51.3,64109,58.4,4,4,4,4,4,4,4,4,4,4
"42019","Butler",59.3845844504021,187853,31.3385126162019,31.6121983914209,23596.6,"Butler County",354.4608,14.7950684931507,3.83561643835616,35,18.8636363636364,15,0.0961186046511628,15,0.204545454545455,1.02272727272727,94.7,138829,138820,77.7,135313,82.5,128114,84.9,41330,99.9,119866,63.8,119864,67.1,115462,70.4,108538,72,33330,91.4,58269,48.6,58261,50.5,56549,52.1,62.2,62.2,23378,70.1,4,4,4,4,4,4,4,4,4,4
