"","dates","reportedValues","estimatedValues","estimatedValues_lowerBound","estimatedValues_upperBound"
"1",2020-03-15,4,4,NA,NA
"2",2020-03-16,5,5,NA,NA
"3",2020-03-17,7,7,NA,NA
"4",2020-03-18,9,9,NA,NA
"5",2020-03-19,13,13,NA,NA
"6",2020-03-20,17,17,NA,NA
"7",2020-03-21,24,24,NA,NA
"8",2020-03-22,32,32,NA,NA
"9",2020-03-23,43,43,NA,NA
"10",2020-03-24,58,58,NA,NA
"11",2020-03-25,78,78,NA,NA
"12",2020-03-26,107,107,NA,NA
"13",2020-03-27,143,143,NA,NA
"14",2020-03-28,185,185,NA,NA
"15",2020-03-29,236,236,NA,NA
"16",2020-03-30,294,294,NA,NA
"17",2020-03-31,359,359,NA,NA
"18",2020-04-01,432,432,NA,NA
"19",2020-04-02,507,507,NA,NA
"20",2020-04-03,591,591,NA,NA
"21",2020-04-04,691,691,NA,NA
"22",2020-04-05,798,798,NA,NA
"23",2020-04-06,910,910,NA,NA
"24",2020-04-07,1030,1030,NA,NA
"25",2020-04-08,1140,1140,NA,NA
"26",2020-04-09,1270,1270,NA,NA
"27",2020-04-10,1380,1380,NA,NA
"28",2020-04-11,1480,1480,NA,NA
"29",2020-04-12,1550,1550,NA,NA
"30",2020-04-13,1600,1600,NA,NA
"31",2020-04-14,1620,1620,NA,NA
"32",2020-04-15,1620,1620,NA,NA
"33",2020-04-16,1580,1580,NA,NA
"34",2020-04-17,1540,1540,NA,NA
"35",2020-04-18,1490,1490,NA,NA
"36",2020-04-19,1450,1450,NA,NA
"37",2020-04-20,1410,1410,NA,NA
"38",2020-04-21,1380,1380,NA,NA
"39",2020-04-22,1360,1360,NA,NA
"40",2020-04-23,1380,1380,NA,NA
"41",2020-04-24,1390,1390,NA,NA
"42",2020-04-25,1390,1390,NA,NA
"43",2020-04-26,1390,1390,NA,NA
"44",2020-04-27,1400,1400,NA,NA
"45",2020-04-28,1420,1420,NA,NA
"46",2020-04-29,1430,1430,NA,NA
"47",2020-04-30,1410,1410,NA,NA
"48",2020-05-01,1410,1410,NA,NA
"49",2020-05-02,1400,1400,NA,NA
"50",2020-05-03,1390,1390,NA,NA
"51",2020-05-04,1380,1380,NA,NA
"52",2020-05-05,1350,1350,NA,NA
"53",2020-05-06,1320,1320,NA,NA
"54",2020-05-07,1280,1280,NA,NA
"55",2020-05-08,1240,1240,NA,NA
"56",2020-05-09,1200,1200,NA,NA
"57",2020-05-10,1170,1170,NA,NA
"58",2020-05-11,1140,1140,NA,NA
"59",2020-05-12,1110,1110,NA,NA
"60",2020-05-13,1080,1080,NA,NA
"61",2020-05-14,1060,1060,NA,NA
"62",2020-05-15,1040,1040,NA,NA
"63",2020-05-16,1020,1020,NA,NA
"64",2020-05-17,980,980,NA,NA
"65",2020-05-18,951,951,NA,NA
"66",2020-05-19,920,920,NA,NA
"67",2020-05-20,892,892,NA,NA
"68",2020-05-21,870,870,NA,NA
"69",2020-05-22,855,855,NA,NA
"70",2020-05-23,834,834,NA,NA
"71",2020-05-24,827,827,NA,NA
"72",2020-05-25,811,811,NA,NA
"73",2020-05-26,799,799,NA,NA
"74",2020-05-27,784,784,NA,NA
"75",2020-05-28,763,763,NA,NA
"76",2020-05-29,737,737,NA,NA
"77",2020-05-30,718,718,NA,NA
"78",2020-05-31,695,695,NA,NA
"79",2020-06-01,673,673,NA,NA
"80",2020-06-02,654,654,NA,NA
"81",2020-06-03,634,634,NA,NA
"82",2020-06-04,616,616,NA,NA
"83",2020-06-05,599,599,NA,NA
"84",2020-06-06,583,583,NA,NA
"85",2020-06-07,568,568,NA,NA
"86",2020-06-08,556,556,NA,NA
"87",2020-06-09,541,541,NA,NA
"88",2020-06-10,527,527,NA,NA
"89",2020-06-11,516,516,NA,NA
"90",2020-06-12,514,514,NA,NA
"91",2020-06-13,505,505,NA,NA
"92",2020-06-14,496,496,NA,NA
"93",2020-06-15,489,489,NA,NA
"94",2020-06-16,478,478,NA,NA
"95",2020-06-17,469,469,NA,NA
"96",2020-06-18,457,457,NA,NA
"97",2020-06-19,439,439,NA,NA
"98",2020-06-20,428,428,NA,NA
"99",2020-06-21,422,422,NA,NA
"100",2020-06-22,418,418,NA,NA
"101",2020-06-23,423,423,NA,NA
"102",2020-06-24,432,432,NA,NA
"103",2020-06-25,446,446,NA,NA
"104",2020-06-26,464,464,NA,NA
"105",2020-06-27,485,485,NA,NA
"106",2020-06-28,503,503,NA,NA
"107",2020-06-29,521,521,NA,NA
"108",2020-06-30,534,534,NA,NA
"109",2020-07-01,547,547,NA,NA
"110",2020-07-02,563,563,NA,NA
"111",2020-07-03,580,580,NA,NA
"112",2020-07-04,595,595,NA,NA
"113",2020-07-05,611,611,NA,NA
"114",2020-07-06,624,624,NA,NA
"115",2020-07-07,641,641,NA,NA
"116",2020-07-08,660,660,NA,NA
"117",2020-07-09,673,673,NA,NA
"118",2020-07-10,686,686,NA,NA
"119",2020-07-11,701,701,NA,NA
"120",2020-07-12,716,716,NA,NA
"121",2020-07-13,730,730,NA,NA
"122",2020-07-14,742,742,NA,NA
"123",2020-07-15,751,751,NA,NA
"124",2020-07-16,763,763,NA,NA
"125",2020-07-17,774,774,NA,NA
"126",2020-07-18,781,781,NA,NA
"127",2020-07-19,789,789,NA,NA
"128",2020-07-20,805,805,NA,NA
"129",2020-07-21,822,822,NA,NA
"130",2020-07-22,832,832,NA,NA
"131",2020-07-23,843,843,NA,NA
"132",2020-07-24,854,854,NA,NA
"133",2020-07-25,872,872,NA,NA
"134",2020-07-26,889,889,NA,NA
"135",2020-07-27,900,900,NA,NA
"136",2020-07-28,909,909,NA,NA
"137",2020-07-29,923,923,NA,NA
"138",2020-07-30,935,935,NA,NA
"139",2020-07-31,941,941,NA,NA
"140",2020-08-01,936,936,NA,NA
"141",2020-08-02,927,927,NA,NA
"142",2020-08-03,914,914,NA,NA
"143",2020-08-04,894,894,NA,NA
"144",2020-08-05,872,872,NA,NA
"145",2020-08-06,849,849,NA,NA
"146",2020-08-07,824,824,NA,NA
"147",2020-08-08,802,802,NA,NA
"148",2020-08-09,785,785,NA,NA
"149",2020-08-10,774,774,NA,NA
"150",2020-08-11,767,767,NA,NA
"151",2020-08-12,765,765,NA,NA
"152",2020-08-13,769,769,NA,NA
"153",2020-08-14,780,780,NA,NA
"154",2020-08-15,793,793,NA,NA
"155",2020-08-16,801,801,NA,NA
"156",2020-08-17,805,805,NA,NA
"157",2020-08-18,806,806,NA,NA
"158",2020-08-19,798,798,NA,NA
"159",2020-08-20,781,781,NA,NA
"160",2020-08-21,759,759,NA,NA
"161",2020-08-22,736,736,NA,NA
"162",2020-08-23,714,714,NA,NA
"163",2020-08-24,694,694,NA,NA
"164",2020-08-25,677,677,NA,NA
"165",2020-08-26,663,663,NA,NA
"166",2020-08-27,652,652,NA,NA
"167",2020-08-28,645,645,NA,NA
"168",2020-08-29,640,640,NA,NA
"169",2020-08-30,638,638,NA,NA
"170",2020-08-31,639,639,NA,NA
"171",2020-09-01,646,646,NA,NA
"172",2020-09-02,663,663,NA,NA
"173",2020-09-03,692,692,NA,NA
"174",2020-09-04,720,720,NA,NA
"175",2020-09-05,750,750,NA,NA
"176",2020-09-06,777,777,NA,NA
"177",2020-09-07,804,804,NA,NA
"178",2020-09-08,819,819,NA,NA
"179",2020-09-09,827,827,NA,NA
"180",2020-09-10,817,817,NA,NA
"181",2020-09-11,808,808,NA,NA
"182",2020-09-12,796,796,NA,NA
"183",2020-09-13,784,784,NA,NA
"184",2020-09-14,773,773,NA,NA
"185",2020-09-15,782,782,NA,NA
"186",2020-09-16,783,783,NA,NA
"187",2020-09-17,802,802,NA,NA
"188",2020-09-18,814,814,NA,NA
"189",2020-09-19,825,825,NA,NA
"190",2020-09-20,837,837,NA,NA
"191",2020-09-21,844,844,NA,NA
"192",2020-09-22,835,835,NA,NA
"193",2020-09-23,830,830,NA,NA
"194",2020-09-24,819,819,NA,NA
"195",2020-09-25,815,815,NA,NA
"196",2020-09-26,813,813,NA,NA
"197",2020-09-27,815,815,NA,NA
"198",2020-09-28,821,821,NA,NA
"199",2020-09-29,843,843,NA,NA
"200",2020-09-30,867,867,NA,NA
"201",2020-10-01,893,893,NA,NA
"202",2020-10-02,919,919,NA,NA
"203",2020-10-03,949,949,NA,NA
"204",2020-10-04,977,977,NA,NA
"205",2020-10-05,1000,1000,NA,NA
"206",2020-10-06,1010,1010,NA,NA
"207",2020-10-07,1030,1030,NA,NA
"208",2020-10-08,1050,1050,NA,NA
"209",2020-10-09,1070,1070,NA,NA
"210",2020-10-10,1090,1090,NA,NA
"211",2020-10-11,1120,1120,NA,NA
"212",2020-10-12,1160,1160,NA,NA
"213",2020-10-13,1200,1200,NA,NA
"214",2020-10-14,1240,1240,NA,NA
"215",2020-10-15,1280,1280,NA,NA
"216",2020-10-16,1320,1320,NA,NA
"217",2020-10-17,1350,1350,NA,NA
"218",2020-10-18,1370,1370,NA,NA
"219",2020-10-19,1400,1400,NA,NA
"220",2020-10-20,1420,1420,NA,NA
"221",2020-10-21,1450,1450,NA,NA
